Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,7,482,16472,11170,5465,1486,.527,.397,.833,34.2,23.2,11.3,3.1,66.1,.193,4.8,28.3
2,2,LAL,D'Angelo Russell,Ohio State,7,424,12477,7504,1503,2370,.420,.356,.781,29.4,17.7,3.5,5.6,14.4,.055,0.5,8.0
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0
4,4,NYK,Kristaps Porziņģis,,6,337,10386,6371,2649,537,.444,.353,.820,30.8,18.9,7.9,1.6,27.1,.125,1.7,9.6
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,7,419,8410,2632,1309,612,.384,.300,.754,20.1,6.3,3.1,1.5,6.2,.035,-2.8,-1.7
9,9,CHO,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,.429,.348,.743,21.0,9.4,4.1,1.6,15.2,.092,-0.3,3.4
10,10,MIA,Justise Winslow,Duke,7,315,8129,2633,1615,791,.413,.315,.634,25.8,8.4,5.1,2.5,7.8,.046,-2.1,-0.2
11,11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,.489,.349,.768,28.7,12.7,6.7,1.2,32.8,.127,0.6,8.2
12,12,UTA,Trey Lyles,Kentucky,7,449,8217,3503,1953,477,.441,.338,.737,18.3,7.8,4.3,1.1,14.5,.085,-1.0,2.0
13,13,PHO,Devin Booker,Kentucky,7,477,16072,11217,1865,2228,.457,.357,.870,33.7,23.5,3.9,4.7,29.9,.089,0.5,10.2
14,14,OKC,Cameron Payne,Murray State,7,279,4994,2132,624,905,.421,.362,.830,17.9,7.6,2.2,3.2,8.2,.079,-0.4,2.0
15,15,ATL,Kelly Oubre Jr.,Kansas,7,479,12061,5769,2074,484,.434,.331,.749,25.2,12.0,4.3,1.0,17.6,.070,-1.8,0.5
16,16,BOS,Terry Rozier,Louisville,7,477,12438,6039,1866,1509,.417,.376,.822,26.1,12.7,3.9,3.2,24.0,.093,0.6,8.2
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,7,411,8577,2952,1318,1246,.453,.354,.799,20.9,7.2,3.2,3.0,22.8,.128,2.1,8.9
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,7,453,9837,5021,2995,537,.470,.383,.752,21.7,11.1,6.6,1.2,21.1,.103,-0.6,3.5
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,7,455,8377,2807,799,1691,.435,.352,.818,18.4,6.2,1.8,3.7,19.3,.111,0.4,5.1
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,7,396,9527,3210,2577,747,.529,.333,.689,24.1,8.1,6.5,1.9,24.4,.123,1.0,7.3
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,7,367,6014,1721,1750,498,.567,.172,.606,16.4,4.7,4.8,1.4,20.4,.163,-0.2,2.7
