1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,33.9,15.9,8.1,7.7,30.4,.156,3.7,13.5
2,2,LAL,Brandon Ingram,Duke,6,368,12080,6812,1896,1412,.461,.360,.769,32.8,18.5,5.2,3.8,18.7,.074,-0.3,5.2
3,3,BOS,Jaylen Brown,California,6,403,11559,6644,1994,822,.473,.373,.712,28.7,16.5,4.9,2.0,24.5,.102,0.1,6.1
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,6,245,5897,1995,815,1029,.420,.299,.739,24.1,8.1,3.3,4.2,3.9,.031,-2.1,-0.2
6,6,NOP,Buddy Hield,Oklahoma,6,468,13675,7463,2003,1180,.430,.398,.865,29.2,15.9,4.3,2.5,17.1,.060,0.1,7.3
7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,30.1,16.3,3.6,3.8,20.8,.096,0.3,6.0
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,6,416,8409,3035,2524,601,.628,.667,.518,20.2,7.3,6.1,1.4,28.9,.165,1.0,6.4
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,6,415,11806,5961,3815,1493,.534,.319,.728,28.4,14.4,9.2,3.6,34.6,.141,1.7,11.1
12,12,UTA,Taurean Prince,Baylor,6,370,8936,3899,1442,647,.416,.371,.815,24.2,10.5,3.9,1.7,8.3,.045,-1.8,0.5
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
15,15,DEN,Juancho Hernangomez,,6,297,4655,1589,1008,191,.428,.351,.681,15.7,5.4,3.4,0.6,8.1,.083,-1.8,0.3
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,6,336,7026,3488,825,418,.430,.386,.816,20.9,10.4,2.5,1.2,10.5,.071,-0.9,2.0
20,20,IND,Caris LeVert,Michigan,6,318,8761,4649,1216,1257,.437,.333,.737,27.6,14.6,3.8,4.0,11.9,.065,-0.5,3.3
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.1,-0.7
23,23,BOS,Ante Zizic,,3,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
24,24,PHI,Timothe Luwawu-Cabarrot,,6,328,5254,1937,656,293,.391,.335,.829,16.0,5.9,2.0,0.9,4.7,.043,-4.0,-2.7
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
26,26,PHI,Furkan Korkmaz,,5,256,4794,2016,574,344,.405,.355,.769,18.7,7.9,2.2,1.3,7.1,.071,-1.8,0.3
27,27,TOR,Pascal Siakam,New Mexico State,6,400,11780,6290,2522,1241,.489,.328,.774,29.5,15.7,6.3,3.1,33.3,.136,1.8,11.1
28,28,PHO,Skal Labissiere,Kentucky,4,148,2595,1069,662,152,.492,.353,.748,17.5,7.2,4.5,1.0,4.4,.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,5,320,8257,3993,1920,1540,.455,.330,.771,25.8,12.5,6.0,4.8,16.4,.096,1.8,7.8
30,30,GSW,Damian Jones,Vanderbilt,6,199,3035,1117,685,163,.665,.302,.702,15.3,5.6,3.4,0.8,9.3,.146,-0.9,0.8
